Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0653513068168296,0.00948609134574523,0.175579356834395,0,0,0,68.6102338369016,1.00754057887286,0.00041340404807901,0.000216201033298126,3.29228934484251,3.79978600731642E-05,4.23027118253916,0,0,0,0,0,0,package://smr1000_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr1000_description/meshes/base_link.STL,,base_link_20062-0000-000-1;caseter_base_LH-VSTH 80K-2;caseter_base_LH-VSTH 80K-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
swing_right_link,-0.176347650188863,0.00440389227080025,-0.300793675091469,0,0,0,25.0168854199356,0.0682466016837255,-0.00949922807571882,-9.30065521097321E-05,0.172623060051642,-4.59700602586555E-06,0.197181082598249,0,0,0,0,0,0,package://smr1000_description/meshes/swing_right_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://smr1000_description/meshes/swing_right_link.STL,,swing_arm_right_20062-0200-000-1,swing_right_frame,swing_right_axis,swing_right_joint,revolute,0.22,-0.3799,0.1223,1.5708,0,0,base_link,0,0,-1,0,0,-0.5236,0.5236,,,,,,,,
wheel_right_link,-1.89360408194331E-07,5.32318273128995E-06,-0.00123251961550358,0,0,0,7.69591298907116,0.0241713576513514,1.19672901117117E-07,3.40566483541933E-08,0.0241679260711374,-1.02517453763162E-06,0.0461678453168516,0,0,0,0,0,0,package://smr1000_description/meshes/wheel_right_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://smr1000_description/meshes/wheel_right_link.STL,,wheel-1,wheel_right_frame,wheel_right_axis,wheel_right_joint,continuous,-0.22,-0.0225,0.0285,0,0,0,swing_right_link,0,0,1,100,20,,,,,,,,,,
caster_arm_front_right_link,-0.0155555617039367,-0.000178963669494714,0.0281895860641981,0,0,0,1.25269802738413,0.00100221826493282,-4.97387950814633E-08,0.000216362342476403,0.000957690978837859,5.5425881475455E-08,0.00123742855747407,0,0,0,0,0,0,package://smr1000_description/meshes/caster_arm_front_right_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://smr1000_description/meshes/caster_arm_front_right_link.STL,,caseter_arm_LH-VSTH 80K-2,caster_arm_front_right_frame,caster_arm_front_right_axis,caster_arm_front_right_joint,continuous,0.20999986644946,-0.0138199999999889,-0.0149995745198013,1.57079632679491,0,0,swing_right_link,0,0,1,,,,,,,,,,,,
caster_wheel_front_right_link,5.22706102568105E-07,-7.27056550867133E-08,-3.43081149989377E-07,0,0,0,1.44285896681486,0.000795470204249507,9.7830862267861E-10,1.63526977773804E-08,0.000795524588628693,-2.05415020657229E-09,0.00122117998887139,0,0,0,0,0,0,package://smr1000_description/meshes/caster_wheel_front_right_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://smr1000_description/meshes/caster_wheel_front_right_link.STL,,caseter_wheel_LH-VSTH 80K-2,caster_wheel_front_right_frame,caster_wheel_front_right_axis,caster_wheel_front_right_joint,continuous,-0.0449998664494292,0,0.0684800000000012,-1.5707963267949,0,0,caster_arm_front_right_link,0,0,1,,,,,,,,,,,,
caster_arm_rear_right_link,-0.0155555617039297,-0.000178963669520582,0.0281895860641979,0,0,0,1.25269802738413,0.00100221826493282,-4.97387949983293E-08,0.000216362342476399,0.00095769097883786,5.54258818883207E-08,0.00123742855747408,0,0,0,0,0,0,package://smr1000_description/meshes/caster_arm_rear_right_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://smr1000_description/meshes/caster_arm_rear_right_link.STL,,caseter_arm_LH-VSTH 80K-4,caster_arm_rear_right_frame,caster_arm_rear_right_axis,caster_arm_rear_right_joint,continuous,-0.425000133550558,-0.360000425480045,0.108280000000031,3.14159265358979,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_rear_right_link,5.22706269046047E-07,-7.27055614602179E-08,-3.43081175468996E-07,0,0,0,1.44285896681486,0.00079547020424951,9.78308624551728E-10,1.63526963921423E-08,0.000795524588628698,-2.05415021177103E-09,0.0012211799888714,0,0,0,0,0,0,package://smr1000_description/meshes/caster_wheel_rear_right_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://smr1000_description/meshes/caster_wheel_rear_right_link.STL,,caseter_wheel_LH-VSTH 80K-3,caster_wheel_rear_right_frame,caster_wheel_rear_right_axis,caster_wheel_rear_right_joint,continuous,-0.0449998664494387,0,0.0684800000000013,-1.5707963267949,0,0,caster_arm_rear_right_link,0,0,1,,,,,,,,,,,,
swing_left_link,-0.145737324025481,-0.00429423142705054,-0.0146676077458625,0,0,0,34.2220050178526,0.0869972530035693,0.0191225202017814,-0.000118555323432275,0.293111035161583,-1.15917243083435E-06,0.333894919135107,0,0,0,0,0,0,package://smr1000_description/meshes/swing_left_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://smr1000_description/meshes/swing_left_link.STL,,swing_arm_left_20062-0200-000-1,swing_left_frame,wheel_left_axis,swing_left_joint,revolute,0.22,0.3799,0.1223,-1.5708,0,0,base_link,0,0,1,0,0,-0.5236,0.5236,,,,,,,,
wheel_left_link,-1.89360408143877E-07,5.32318273170629E-06,-0.00123251961550752,0,0,0,7.69591298907121,0.0241713576513516,1.19672901089617E-07,3.40566483462889E-08,0.0241679260711376,-1.02517453763785E-06,0.0461678453168519,0,0,0,0,0,0,package://smr1000_description/meshes/wheel_left_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://smr1000_description/meshes/wheel_left_link.STL,,wheel-2,wheel_left_frame,wheel_left_axis,wheel_left_joint,continuous,-0.22,0.0225,0.0285,0,0,3.1416,swing_left_link,0,0,1,100,20,,,,,,,,,,
caster_arm_front_left_link,-0.015555561703935,-0.000178963669518362,0.0281895860641979,0,0,0,1.25269802738414,0.00100221826493283,-4.97387950034294E-08,0.000216362342476401,0.000957690978837865,5.54258818844297E-08,0.00123742855747409,0,0,0,0,0,0,package://smr1000_description/meshes/caster_arm_front_left_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://smr1000_description/meshes/caster_arm_front_left_link.STL,,caseter_arm_LH-VSTH 80K-1,caster_arm_front_left_frame,caster_arm_front_left_axis,caster_arm_front_left_joint,continuous,0.209999866449287,0.0138200000000299,-0.0150004254799135,-1.5707963267949,0,0,swing_left_link,0,0,1,,,,,,,,,,,,
